U_norm,E0,analysis_variant,requested_tasksets,completed_analyses,certified_tasksets,not_certified,not_applicable,no_candidate,timeout,numeric_error,internal_conformance_failure,certification_ratio,mean_runtime,median_runtime,p95_runtime,max_runtime,mean_candidate,dominance_common_count,dominance_tighter_count,dominance_equal_count,dominance_violation_count
0.2,0,CW_D,10,0,0,10,0,10,0,0,0,0.0,0.2759095281,0.227694591,0.503705084,0.503705084,,0,0,0,0
0.2,0,CW_THETA_CW,10,0,0,10,0,10,0,0,0,0.0,0.2776357716,0.230550624,0.466256776,0.466256776,,0,0,0,0
0.2,0,LOC_D,10,0,0,10,0,10,0,0,0,0.0,0.2684018587,0.2238177805,0.457582696,0.457582696,,0,0,0,0
0.2,0,LOC_THETA_CW,10,0,0,0,10,0,0,0,0,0.0,0.006106694,0.006039938,0.007442546,0.007442546,,0,0,0,0
0.2,0,LOC_THETA_LOC,10,0,0,10,0,10,0,0,0,0.0,0.2719135245,0.2278518665,0.462332368,0.462332368,,0,0,0,0
0.2,1,CW_D,10,10,10,0,0,0,0,0,0,1.0,1.8480367031,0.9970481675,4.81608218,4.81608218,19.96,0,0,0,0
0.2,1,CW_THETA_CW,10,10,10,0,0,0,0,0,0,1.0,1.3523507473,0.7317070729999999,3.524532935,3.524532935,14.81,0,0,0,0
0.2,1,LOC_D,10,10,10,0,0,0,0,0,0,1.0,1.8316682059000002,1.013000222,4.556348481,4.556348481,19.96,100,0,100,0
0.2,1,LOC_THETA_CW,10,10,10,0,0,0,0,0,0,1.0,1.3042390912,0.745692504,3.402088268,3.402088268,14.81,100,0,100,0
0.2,1,LOC_THETA_LOC,10,10,10,0,0,0,0,0,0,1.0,1.2927650265000001,0.749490696,3.408298278,3.408298278,14.81,100,0,100,0
0.4,0,CW_D,10,0,0,10,0,10,0,0,0,0.0,0.2270591079,0.226189983,0.384897241,0.384897241,,0,0,0,0
0.4,0,CW_THETA_CW,10,0,0,10,0,10,0,0,0,0.0,0.22366325979999999,0.2247469915,0.364625392,0.364625392,,0,0,0,0
0.4,0,LOC_D,10,0,0,10,0,10,0,0,0,0.0,0.22370781690000002,0.2263103905,0.369824031,0.369824031,,0,0,0,0
0.4,0,LOC_THETA_CW,10,0,0,0,10,0,0,0,0,0.0,0.0057195876,0.0055803835,0.00659577,0.00659577,,0,0,0,0
0.4,0,LOC_THETA_LOC,10,0,0,10,0,10,0,0,0,0.0,0.2239992079,0.22173561,0.356691028,0.356691028,,0,0,0,0
0.4,1,CW_D,10,8,8,2,0,0,2,0,0,0.8,8.1917759861,6.7693374675,15.10161333,15.10161333,41.302083333333336,0,0,0,0
0.4,1,CW_THETA_CW,10,9,9,1,0,0,1,0,0,0.9,6.668643482999999,5.264336657,15.00623303,15.00623303,30.7979797979798,0,0,0,0
0.4,1,LOC_D,10,8,8,2,0,0,2,0,0,0.8,8.2404262162,6.90677244,15.124136568,15.124136568,41.302083333333336,96,0,96,0
0.4,1,LOC_THETA_CW,10,9,9,0,1,0,0,0,0,0.9,5.193900103300001,4.504102499,14.17744266,14.17744266,31.27777777777778,90,0,90,0
0.4,1,LOC_THETA_LOC,10,10,10,0,0,0,0,0,0,1.0,6.669351820600001,5.2621003595,15.006459617,15.006459617,30.91,99,0,99,0
0.6,0,CW_D,10,0,0,10,0,10,0,0,0,0.0,0.22438251820000002,0.212805254,0.509727706,0.509727706,,0,0,0,0
0.6,0,CW_THETA_CW,10,0,0,10,0,10,0,0,0,0.0,0.2236295605,0.209669596,0.483294032,0.483294032,,0,0,0,0
0.6,0,LOC_D,10,0,0,10,0,10,0,0,0,0.0,0.222399544,0.207389587,0.469424101,0.469424101,,0,0,0,0
0.6,0,LOC_THETA_CW,10,0,0,0,10,0,0,0,0,0.0,0.0062572584,0.006055005,0.007748221,0.007748221,,0,0,0,0
0.6,0,LOC_THETA_LOC,10,0,0,10,0,10,0,0,0,0.0,0.2280499979,0.212041345,0.495083384,0.495083384,,0,0,0,0
0.6,1,CW_D,10,1,1,9,0,4,5,0,0,0.1,11.9157719068,14.346911978,15.127898901,15.127898901,36.25714285714286,0,0,0,0
0.6,1,CW_THETA_CW,10,4,4,6,0,1,5,0,0,0.4,12.4808935978,14.656681821,15.25738792,15.25738792,36.19277108433735,0,0,0,0
0.6,1,LOC_D,10,1,1,9,0,4,5,0,0,0.1,11.9404846724,14.270301472,15.176579719,15.176579719,36.25714285714286,70,0,70,0
0.6,1,LOC_THETA_CW,10,3,3,1,6,0,1,0,0,0.3,3.7960935425000004,0.0075489655,15.016202932,15.016202932,39.71052631578947,38,0,38,0
0.6,1,LOC_THETA_LOC,10,3,3,7,0,1,6,0,0,0.3,12.6596770632,15.009074102,15.262919041,15.262919041,35.926829268292686,82,0,82,0
