total_instances,failed_instances,preemptions,busy_time,idle_time,total_time,num_cores,failure_rate,total_idle_time,avg_execution_time,overhead_proxy,avg_energy_level,algorithm,battery_capacity
1613.8333333333333,1523.4333333333334,50.03333333333333,2184.733333333333,0.0,10000.0,4.0,0.9440252050391031,37815.26666666667,1.382766106945026,3.419666666666666,0.0,gpfp_tie,1.0
1613.8333333333333,1333.4666666666667,170.8,7149.933333333333,0.0,10000.0,4.0,0.8264546992302803,32850.066666666666,4.527504199593387,3.8789666666666656,0.0,gpfp_tie,3.0
1613.8333333333333,1142.0666666666666,291.8666666666667,12146.3,0.0,10000.0,4.0,0.7080190513795183,27853.7,7.691559106536124,4.341833333333333,0.0,gpfp_tie,5.0
1613.8333333333333,728.5,558.4,23046.433333333334,0.0,10000.0,4.0,0.451505224348942,16953.566666666666,14.621575181859422,5.351266666666666,0.0,gpfp_tie,10.0
1613.8333333333333,406.23333333333335,766.8333333333334,31658.033333333333,0.0,10000.0,4.0,0.2514344106599703,8341.966666666667,20.106346198513556,6.143366666666667,0.0,gpfp_tie,15.0
1613.8333333333333,184.43333333333334,922.6666666666666,37744.933333333334,0.0,10000.0,4.0,0.11542519330901028,2255.0666666666666,23.905035447452935,6.718999999999999,0.0,gpfp_tie,25.0
1613.8333333333333,167.63333333333333,936.2333333333333,38257.433333333334,0.0,10000.0,4.0,0.10460173475764137,1742.5666666666666,24.240249109184543,6.765866666666666,0.0,gpfp_tie,40.0
1613.8333333333333,167.63333333333333,936.2333333333333,38257.433333333334,0.0,10000.0,4.0,0.10460173475764137,1742.5666666666666,24.240249109184543,6.765866666666666,0.0,gpfp_tie,60.0
1613.8333333333333,1571.1666666666667,21.2,946.3,0.0,10000.0,4.0,0.9734138705270332,39053.7,0.6011849103080887,3.3096666666666663,0.0,gpfp_tgf,1.0
1613.8333333333333,1499.5333333333333,67.43333333333334,2850.4666666666667,0.0,10000.0,4.0,0.9289450284834697,37149.53333333333,1.8107418212303608,3.4851000000000005,0.0,gpfp_tgf,3.0
1613.8333333333333,1427.6333333333334,114.03333333333333,4752.533333333334,0.0,10000.0,4.0,0.8843030874700807,35247.46666666667,3.018760977886124,3.6608666666666676,0.0,gpfp_tgf,5.0
1613.8333333333333,1248.8333333333333,229.9,9509.6,0.0,10000.0,4.0,0.7733087082119936,30490.4,6.040227653504771,4.1004000000000005,0.0,gpfp_tgf,10.0
1613.8333333333333,1069.9666666666667,346.43333333333334,14266.6,0.0,10000.0,4.0,0.6622402729583168,25733.4,9.061763370105972,4.540266666666668,0.0,gpfp_tgf,15.0
1613.8333333333333,710.7666666666667,576.2,23782.733333333334,0.0,10000.0,4.0,0.4391812946488601,16217.266666666666,15.106410284456938,5.412933333333333,0.0,gpfp_tgf,25.0
1613.8333333333333,243.93333333333334,880.6666666666666,36147.566666666666,0.0,10000.0,4.0,0.15076059408011935,3852.4333333333334,22.92671254035074,6.562733333333332,0.0,gpfp_tgf,40.0
1613.8333333333333,167.63333333333333,936.2333333333333,38257.433333333334,0.0,10000.0,4.0,0.10460173475764137,1742.5666666666666,24.240249109184543,6.765866666666666,0.0,gpfp_tgf,60.0
1613.8333333333333,1575.0666666666666,0.0,921.2,0.0,10000.0,4.0,0.975853232219614,39078.8,0.5854813396929118,3.266233333333333,0.0,gpfp_btie,1.0
1613.8333333333333,1525.1666666666667,0.0,2769.1,0.0,10000.0,4.0,0.9448643653555039,37230.9,1.7597185997435512,3.3556666666666666,0.0,gpfp_btie,3.0
1613.8333333333333,1467.1333333333334,0.0,4616.466666666666,0.0,10000.0,4.0,0.9085355693257583,35383.53333333333,2.9326520657011144,3.4333000000000005,0.0,gpfp_btie,5.0
1613.8333333333333,1316.6,0.0,9234.2,0.0,10000.0,4.0,0.8143605957579487,30765.8,5.8645711882818485,3.6187,0.0,gpfp_btie,10.0
1613.8333333333333,1155.5666666666666,0.0,13860.666666666666,0.0,10000.0,4.0,0.7143319031794877,26139.333333333332,8.8010544998983,3.7916666666666665,0.0,gpfp_btie,15.0
1613.8333333333333,833.1,0.0,23131.1,0.0,10000.0,4.0,0.5140665154660373,16868.9,14.686454186229401,4.129666666666666,0.0,gpfp_btie,25.0
1613.8333333333333,465.0,0.0,33496.86666666667,0.0,10000.0,4.0,0.2864151677927385,6503.133333333333,21.237801841461785,4.5147666666666675,0.0,gpfp_btie,40.0
1613.8333333333333,419.56666666666666,0.0,34833.6,0.0,10000.0,4.0,0.2587029004661099,5166.4,22.07450092578414,4.5636,0.0,gpfp_btie,60.0
